idx,t_solve,wall_min,n_solves,n_dep_solves,censored,enrich_inner,enrich_outer,gd_wt,pitch,refl_thick
47,287.0263028437392,119.96727248333333,23,22,1,9.595839699455256,8.81288041775377,6.3850718256014805,1.2254280229366379,14.843017831878248
48,234.81579519388234,73.30675503333333,17,16,0,5.75022888458194,5.211904913360119,3.9675649252987264,1.4162511425565445,3.021829352874566
49,233.96577414099997,72.97208508333333,17,16,0,5.487636625850122,5.284235818805741,2.2739644683303766,1.4097540774186483,2.0862750795638387
50,240.27595397905884,74.83768941666668,17,16,0,5.75022888458194,5.4749676559846145,3.2533049187260628,1.393344496720172,3.020576726353946
51,234.4830795720588,73.17345841666666,17,16,0,5.28218595377374,5.236507401426641,2.265326503637804,1.4097540774186483,2.062182545660378
52,241.12283990042104,84.24912206666666,19,18,0,5.871392390062129,5.5526222178209785,3.5758140583944216,1.3888644143271487,4.794460384131693
53,245.64966440294734,85.77705928333333,19,18,0,5.664377728791713,5.593633180439163,3.0224070098035947,1.3801226386278662,3.459369912205878
54,236.49037826095656,99.83654228333333,23,22,1,10.300160149162442,7.241024648817952,5.84602545516505,1.404338338938669,3.668904351858561
55,229.50057860395646,97.45713831666667,23,22,1,10.976692634579795,7.102793922910449,6.935611771141626,1.3991336806051757,3.7566188133661775
56,230.15985399926086,97.80318873333334,23,22,1,10.475640852223208,7.241024648817952,5.8466479988625775,1.3999749382745394,3.9273357636098987
57,230.77704695560874,98.20168155,23,22,1,11.160745321220329,6.987011098025436,5.509411050660185,1.3977757199520273,3.7472903721248505
58,232.76562035808692,99.03799176666666,23,22,1,10.93249417089998,7.102394885955409,6.470165378928796,1.3866000268263807,4.667306714488028
59,235.06724047521735,100.00701935000001,23,22,1,10.789220162471933,7.102394885955409,6.22987718681499,1.3810229946691737,5.22041845593599
60,270.94644718478264,113.65706026666666,23,22,1,4.919824482524348,11.160327876856854,2.138866445648876,1.2545807942521834,13.062600147538355
61,275.6928514756957,115.73871006666667,23,22,1,4.919824482524348,11.160327876856854,2.126003912090214,1.2540597572561205,13.065935593788794
62,275.720915531087,115.68655788333334,23,22,1,5.504456521375262,10.909450717221274,2.6070826242317935,1.2501944063169277,13.271326637811795
63,277.3784589902608,116.36983985,23,22,1,5.504456521375262,10.837759047916483,2.6058283910549584,1.2485101188374672,12.368545117757709
64,276.5028381737826,116.07193633333333,23,22,1,6.2390907107895055,10.435978247072761,3.2520451117322753,1.2499105099917442,13.386862659076995
65,280.2473690411304,117.60329691666668,23,22,1,5.5465307116358815,10.679789625790148,2.2084277120029627,1.2425302984173578,11.739408702119214
66,232.21793390721746,99.27529265,23,22,1,18.71008239807793,4.820171295820821,2.1421088460231155,1.4217521972553426,2.423618289138463
67,230.90736167869568,98.75439485,23,22,1,18.267628976798658,4.960297408786069,1.5420429520775703,1.4217521972553426,2.8138143450170494
68,232.13322376617384,99.43351621666667,23,22,1,17.737692743078735,4.994733913423168,1.5049192290124875,1.4207134921484184,2.362998948751673
69,233.3614618805653,99.87331528333334,23,22,1,17.729456121335947,4.82787498626972,1.4844747058988066,1.4230895076334011,2.1224641464396097
70,232.5724658962174,99.64004816666667,23,22,1,17.28376260644697,5.07542222954256,1.4086742178479679,1.4201343586548583,2.7942555154273108
71,235.10768882526082,100.87664486666667,23,22,1,16.75618642982878,5.380499199837939,1.8097262946362471,1.4124668801407851,2.03274936285884
