idx,enrich_inner,enrich_outer,gd_wt,pitch,refl_thick,gd_pins,F_asm,F_uniform,F_zoned,dF,k_core_uniform,k_core_zoned,dk_pcm,share_C,share_M,share_P,max_enr_zoned,leu_screen_ok,leu20_ok,seeds
30,4.146147971691276,17.638808704118873,5.984658544438535,1.2999674953287932,2.649054604939212,16.88598292643545,1.4630181187209514,2.6686351239950303,2.354376592365196,-0.3142585316298345,1.3102362692035536,1.3001915960104105,-1004.4673193143173,0.18895496647170534,0.4587302997015051,0.3523147338267896,18.961719356927787,True,True,1
31,19.57118038131429,13.064374507834378,0.07427033572417606,1.2330984829244784,2.1437841685263366,16.038889603251675,1.2667255320101185,2.251088612916922,2.0699434981002676,-0.1811451148166543,1.40746642333253,1.4006273454119216,-683.9077920608449,0.19403587953734808,0.45925410960100355,0.3467100108616486,21.03901890991286,False,False,1
32,7.675080132374458,18.232550118970135,0.3146453629777932,1.266825977658945,4.241727236166242,21.055515596768807,1.3141947625602541,2.274670247046176,2.0989203049522374,-0.17574994209393857,1.3880685207082526,1.3793064227118663,-876.2097996386276,0.19006037813936086,0.4564202949973091,0.35351932686333015,19.599991377892895,True,True,1
33,18.321299152575804,2.640301629637581,6.167039689808979,1.3139656875283885,5.726616248499714,31.86726670244102,2.11908233253902,3.7774366034892486,3.073364805674059,-0.7040717978151898,1.0107957317658283,0.9940147049133689,-1678.1026852459413,0.17135488193195103,0.4566389677469975,0.37200615032105155,19.695396589018987,True,True,1
34,6.478088215662564,4.511768826495917,1.3478123140469784,1.2370648104666286,7.117020070193473,37.607726046982854,1.2109861818723846,2.198571894283592,1.8152175416195948,-0.3833543526639971,1.0305910780688339,1.0127900760608612,-1780.1002007972634,0.17379593288257308,0.4547866634102237,0.3714174037072033,6.963944831837256,True,True,1
35,4.628152429029315,4.602502191135308,6.9502602640694375,1.1955347961148726,3.827742701870263,15.45067884530971,1.1403757074163792,2.094603292860864,1.737735734748469,-0.35686755811239523,1.065788616677116,1.0502475441562944,-1554.1072520821597,0.1806011058052596,0.45671909941000194,0.36267979478473855,4.975263861206514,True,True,1
36,3.106442563906506,6.718688921440781,4.687492042756989,1.334812530680382,6.771050634737697,26.444907033555623,1.3219206143808777,2.472296877765998,2.0383547980709142,-0.4339420796950839,1.102949288130667,1.088641661569478,-1430.7626561189002,0.1810572579326136,0.45989542482738127,0.35904731724000505,7.2225905905488395,True,True,1
37,9.585077622162839,3.8734760920617957,2.481159186377194,1.1540070225457861,12.314355147364386,18.79537499738209,1.5947626637638177,2.812941845090834,2.3762146684823793,-0.43672717660845484,1.0942130887797388,1.0803468618601355,-1386.6226919603264,0.17860115802724078,0.4513922763182615,0.37000656565449763,10.303958443825051,True,True,1
38,13.41984843608993,9.369528091310144,1.0522110947118617,1.1687237688158612,18.011892004996973,17.69146966094153,1.2787234189559729,2.190226598041106,1.9255508391126142,-0.2646757589284918,1.292849299597747,1.2834809441416475,-936.8355456099487,0.1831316453827312,0.44907058176279974,0.36779777285446896,14.426337068796675,True,True,1
39,16.41192630448297,13.875807199860347,7.296057154636896,1.1700607511588301,15.16438722412385,29.228495534222567,1.203573911233357,2.065531390879493,1.795776562800884,-0.26975482807860884,1.2383260262795388,1.2277827644901016,-1054.3261789437208,0.17819061295464178,0.44659750510750285,0.3752118819378552,17.642820777319194,True,True,1
40,3.3919998879869455,8.198717930475821,3.400366507322134,1.2879121383606895,9.204599565565047,20.262448728557985,1.3668546959786032,2.418869541794399,2.0079580226121254,-0.41091151918227364,1.1663917808461912,1.1530926273041047,-1329.9153542086551,0.18006650710505862,0.45584700493547636,0.36408648795946497,8.813621775261508,True,True,1
41,14.998094561977595,9.005779350899623,2.124456056612133,1.2020257098826956,14.79861967155472,23.13841850760968,1.3621152859171606,2.335737241087132,2.1401638965535446,-0.19557334453358743,1.2688015401896953,1.2580332127877543,-1076.8327401941003,0.18204335157950174,0.4504987686905562,0.367457879729942,16.122951654125913,True,True,1
42,18.05561880947639,16.02636705623546,2.0473561035533465,1.1500002716423556,2.148648716247317,39.60878704267069,1.1744898240798542,2.052846294348055,1.808845605945104,-0.24400068840295108,1.2905212386040585,1.2788858275443886,-1163.541105966992,0.1857074224676869,0.4547819001562375,0.3595106773760757,19.409790220187116,True,True,1
43,18.355758293543644,15.604711575727913,2.0468369272902316,1.1500003854394303,2.151607162872694,39.011806830841834,1.1722356917564982,2.0810278418842905,1.8183650065625545,-0.26266283532173595,1.2888306101625495,1.2761411817781618,-1268.942838438769,0.18500211073486755,0.4540624329550362,0.3609354563100963,19.732440165559417,True,True,1
44,18.356715402425266,15.555488380735166,2.0630541818255113,1.1500076125598786,2.124014641329836,38.8245118404669,1.186209616147251,2.08378551392877,1.852361654003319,-0.231423859925451,1.2872896358957948,1.275800723386234,-1148.8912509560744,0.18502652439561876,0.45417422121108714,0.36079925439329424,19.73346905760716,True,True,1
45,18.466044779101455,15.261258429062963,1.855675444777777,1.1506259715141398,2.4875005879821326,39.838772503994484,1.1865941615434734,2.0788993058053182,1.8204985693363993,-0.2584007364689189,1.2902676130683097,1.278012763666436,-1225.4849401873712,0.1847576803866371,0.453640465736028,0.361601853877335,19.850998137534063,False,True,1
46,18.434222693752783,15.334475577663378,1.7657027871653566,1.1500351864790248,5.757537571013353,39.19236125096447,1.1868848258110236,2.0825750396340457,1.797284340374078,-0.28529069925996775,1.2942936887653078,1.2826613351261857,-1163.2353639122073,0.1812212231116888,0.44996812582013707,0.36881065106817434,19.81678939578424,False,True,1
47,18.229122970969282,15.672975386943632,2.3801250016975253,1.1501070346941764,5.076691072469228,37.934006185145655,1.1742679364149875,2.026938461379543,1.78046220656556,-0.24647625481398294,1.2844256827372622,1.2722313277864812,-1219.4354950781028,0.1817423809585287,0.4494687190787007,0.3687888999627707,19.596307193791976,True,True,1
48,7.108478026490071,7.4158073395515,0.003988515288281543,1.1500116621390266,2.002320442463402,12.000130321355869,1.1184255392767097,2.027585913224646,1.8555325834874015,-0.1720533297372444,1.2781971029963006,1.2693413748416245,-885.5728154676168,0.19467687786972168,0.4594011432917744,0.3459219788385038,7.971992890017862,True,True,1
49,7.0840411699154044,7.392209308073241,0.00046043863501106703,1.1500071082265317,2.002212860157265,12.046311783778037,1.1067939556671582,1.9827539360492434,1.8292776323598097,-0.15347630368943377,1.2777101950609686,1.2696968633178551,-801.3331743113472,0.19411526288358705,0.45999266977931696,0.34589206733709604,7.946625006178734,True,True,1
50,7.107664956813114,7.452616083427075,0.015887978766972975,1.1500995736827302,2.001431996886468,12.001612960432087,1.1231349538053452,2.0176684917106544,1.8751703447242214,-0.14249814698643304,1.2758849598582969,1.2671491088805849,-873.5850977712012,0.1944511812451486,0.45971351380586023,0.345835304948991,8.011562289684106,True,True,1
51,7.1253841645961815,7.512434066967646,0.005647671895652543,1.1500057559375367,2.005214545111474,12.02657085124794,1.1155208710711826,2.064714611283489,1.8350601240141735,-0.2296544872693156,1.278912087663531,1.269919711292609,-899.2376370921872,0.19383255722087087,0.4591196304215646,0.34704781235756443,8.075866621990219,True,True,1
52,7.12704092961836,7.556601280320639,0.005647671895652543,1.1500057559375367,2.00513291076858,12.010384225828096,1.127564460532109,2.010597640282154,1.825179913494425,-0.18541772678772905,1.279642082346172,1.271518689415542,-812.3392930630135,0.19445730841920505,0.4597272529899188,0.3458154385908762,8.123346376344687,True,True,1
53,7.113928064207963,7.582508688073593,0.0022830472178530454,1.1500039585413797,2.004364251256658,12.000077636644564,1.1136570997451039,2.0255171881671705,1.8159553768466854,-0.20956181132048513,1.280945862375457,1.2725716614023326,-837.4200973124468,0.19460710701439013,0.4594999976759701,0.34589289530963957,8.15119683967911,True,True,1
54,13.071883847373613,15.00186792805939,1.423163147411881,1.1501790654338042,19.414511744825614,39.999128626482516,1.169701041188127,2.0011712562298114,1.8000343162803911,-0.20113693994942028,1.273863796519332,1.2625602322223886,-1130.3564296943457,0.17854262259883608,0.4444288989614528,0.3770284784397112,16.127008022663844,True,True,1
55,13.071883847373613,15.00175520546466,1.8610437797284145,1.1500931782500379,19.414511744825614,39.999128626482516,1.1764250696547722,2.070780006171118,1.7888507617390543,-0.2819292444320636,1.2638515840744462,1.2522770499037317,-1157.4534170714523,0.17663254610291726,0.4446428687100807,0.3787245851870023,16.12688684587451,True,True,1
56,13.198949566807986,15.337990811540195,1.7975400680501832,1.1513466950785731,19.39083116837458,39.93120113889835,1.194717299969644,2.0338690133222723,1.8232901893336535,-0.21057882398861882,1.2690061227239968,1.2579247780499567,-1108.1344674040095,0.17735619580040984,0.44499391703730257,0.3776498871622873,16.48834012240571,True,True,1
57,13.08990473332866,15.129033013581395,1.675402861699669,1.1501145712014142,19.439460533386317,39.72844036668839,1.1691309398179746,2.0034360832743103,1.7856779517130759,-0.21775813156123447,1.2690286260995005,1.2580302253314068,-1099.8400768093663,0.17729864206214732,0.44454213637710066,0.3781592215607521,16.263710489599998,True,True,1
58,13.194868753128457,15.12925654475394,1.7591610101242863,1.1500209427178476,19.47234618879819,39.94970666080899,1.1720539606796128,2.0913682154838624,1.7636319106696186,-0.3277363048142439,1.2682720608729612,1.2566125284359642,-1165.9532436997022,0.17729257944379126,0.4451480380016782,0.3775593825545306,16.263950785610483,True,True,1
59,13.281376065336783,15.158333526087718,1.763802854481794,1.1500813764738032,19.36784283593924,39.998531077016224,1.1898077472798307,2.0113397504454675,1.8435293201898215,-0.16781043025564601,1.2683630235494678,1.2570543868623665,-1130.863668710136,0.17709581427972815,0.44470583109157225,0.37819835462869966,16.295208540544298,True,True,1
