cand,particles,seed,fdh,rel_err,n_tied,keff,wall_s
6,64000,5,1.137250279446115,0.005793217386722928,2,1.2591932451488648,47.963561058044434
7,64000,1,1.133641035687114,0.005350773329021959,7,1.3415434993091964,48.800883531570435
7,64000,2,1.1389081457727228,0.005258227507320241,3,1.340573957029251,48.20851135253906
7,64000,3,1.1359880201362273,0.00601008037586822,6,1.3409274157179587,48.59619903564453
7,64000,4,1.1365098155346194,0.005276865923916143,3,1.3404650579631014,49.14228391647339
7,64000,5,1.1383528607290563,0.00554030945602001,6,1.3408149624340722,48.647151947021484
8,64000,1,1.1435966136327667,0.005735626189279821,7,1.342894646238367,50.074647188186646
8,64000,2,1.1445429782657006,0.00543965199189466,3,1.342646731536955,49.471213579177856
8,64000,3,1.1496816603595188,0.006100080336799345,1,1.3420770058516074,50.23049783706665
8,64000,4,1.141065134815906,0.0059304293675725515,5,1.3421032558281236,50.432257413864136
8,64000,5,1.146407494814577,0.005938352528121911,4,1.3424249973490774,50.33169960975647
9,64000,1,1.1659948914313136,0.005803959698955048,1,1.2444650118527212,46.79790282249451
9,64000,2,1.1586429263111484,0.006060592802923204,3,1.2449001205930903,46.36343002319336
9,64000,3,1.1544255627062285,0.005636687591354306,5,1.2453812230649521,46.87498378753662
9,64000,4,1.1734262361046708,0.005396597092621508,1,1.2447645951944808,46.37650442123413
9,64000,5,1.168188598869306,0.006114840914391715,2,1.2452762718595287,46.56600999832153
